hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

              1         0.0005        706.477        22.4307        684.046       -287.401    0.000206555              1
              2          0.001        706.377         42.298        664.079       -308.366    0.000233776              1
              3         0.0015        706.155        75.4762        630.679       -359.192    0.000289779              1
              4          0.002        705.726        117.934        587.792       -453.911     0.00038123              1
              5         0.0025        704.995        162.346        542.649       -618.065    0.000520274              1
              6          0.003        704.031         197.31         506.72       -889.955    0.000724844              1
              7         0.0035        703.539        209.947        493.592       -1303.87     0.00100921              1
              8          0.004        704.923        197.388        507.535       -1823.59     0.00134732              1
              9         0.0045        707.527        181.264        526.264       -2255.94      0.0016248              1
             10          0.005        707.817         192.98        514.837        -2362.6     0.00170372              1
             11         0.0055        706.397        235.509        470.888       -2140.88     0.00158426              1
             12          0.006         705.72        286.259        419.462       -1772.56     0.00137255              1
             13         0.0065        706.036        327.029        379.007       -1403.22      0.0011535              1
             14          0.007        706.779        353.293        353.485       -1090.22    0.000962344              1
             15         0.0075        707.523        368.298        339.225       -840.477     0.00080585              1
             16          0.008        708.168        376.879        331.289       -646.351    0.000682153              1
             17         0.0085        708.728        383.093        325.635       -498.541    0.000587756              1
             18          0.009        709.224        389.935        319.289       -388.164    0.000518733              1
             19         0.0095        709.674        399.465        310.209       -307.283    0.000471165              1
             20           0.01        710.089        412.925        297.164       -249.336    0.000441507              1
             21         0.0105         710.48        430.835        279.645       -209.328    0.000426775              1
             22          0.011        710.856         453.06        257.796       -183.797    0.000424572              1
             23         0.0115        711.223        478.844        232.379       -170.689    0.000433022              1
             24          0.012        711.589        506.809         204.78       -169.203    0.000450675              1
             25         0.0125        711.969        534.958        177.011         -179.6    0.000476372              1
             26          0.013         712.39        560.751        151.639       -202.777    0.000509018              1
             27         0.0135        712.909        581.384        131.525       -239.329    0.000547142              1
             28          0.014        713.605        594.395         119.21       -287.788    0.000588122              1
             29         0.0145        714.554        598.574         115.98       -342.389    0.000627309              1
             30          0.015        715.765        594.759        121.006       -392.194    0.000657969              1
             31         0.0155        717.144        585.819        131.325       -424.161     0.00067332              1
             32          0.016         718.55        575.582        142.968       -429.611    0.000670129              1
             33         0.0165        719.867        567.457         152.41        -408.53    0.000650658              1
             34          0.017        721.008        563.697        157.311       -367.662    0.000620906              1
             35         0.0175        721.887        565.293        156.594       -315.583    0.000587251              1
             36          0.018        722.452        572.087        150.365       -259.593    0.000554453              1
             37         0.0185        722.707        582.946        139.761       -205.079     0.00052535              1
             38          0.019        722.711        596.113        126.598       -155.745    0.000501239              1
             39         0.0195        722.543        609.663        112.879       -113.775    0.000482292              1
             40           0.02        722.278        621.926        100.352       -79.9629    0.000467926              1
             41         0.0205        721.974        631.742        90.2318        -53.987    0.000457153              1
