hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

              1         0.0005        85.3618        18.4348         66.927       -296.639    0.000210049              1
              2          0.001        85.3377        19.2431        66.0946       -241.581    0.000173883              1
              3         0.0015        85.3367        19.7463        65.5904       -146.473    0.000110813              1
              4          0.002        85.3814        19.5764        65.8049       -28.6156     3.2128e-05              1
              5         0.0025        85.4748         18.803        66.6717        90.3129   -4.76732e-05              1
              6          0.003        85.5944        17.9821        67.6122        188.218   -0.000113491              1
              7         0.0035        85.7044         17.836        67.8684          246.8   -0.000152642              1
              8          0.004        85.7798         18.747        67.0327        255.165   -0.000157612              1
              9         0.0045        85.8255        20.4176        65.4079        212.003   -0.000127723              1
             10          0.005        85.8762         21.971        63.9052        125.782   -6.92074e-05              1
             11         0.0055        85.9738         22.479        63.4948        12.9903    6.32584e-06              1
             12          0.006        86.1384        21.5924         64.546       -105.084    8.44506e-05              1
             13         0.0065          86.35        19.8354        66.5147       -206.298    0.000150755              1
             14          0.007        86.5589        18.3211        68.2378       -271.701    0.000193348              1
             15         0.0075         86.718        18.0341        68.6839        -289.08    0.000204743              1
             16          0.008        86.8168        19.1625        67.6543       -255.301    0.000182976              1
             17         0.0085        86.8884         20.959        65.9294       -176.815    0.000131849              1
             18          0.009        86.9847        22.2344        64.7503       -68.2126     6.0298e-05              1
             19         0.0095        87.1401        22.1326        65.0075        50.6146    -1.8988e-05              1
             20           0.01        87.3499        20.6627        66.6872         158.06   -9.15983e-05              1
             21         0.0105        87.5751        18.6617        68.9134        234.611   -0.000143966              1
             22          0.011        87.7677        17.2465        70.5213        266.406   -0.000166106              1
             23         0.0115           87.9        17.1239        70.7761        247.876   -0.000153835              1
             24          0.012        87.9797          18.19        69.7896        182.824   -0.000109756              1
             25         0.0125         88.043        19.6457        68.3973        83.5917   -4.26306e-05              1
             26          0.013         88.131        20.5273        67.6037       -31.4602    3.46583e-05              1
             27         0.0135        88.2639        20.3034        67.9604       -141.483    0.000107857              1
             28          0.014        88.4301        19.1678        69.2623       -226.895    0.000164042              1
             29         0.0145        88.5951         17.863        70.7321       -272.719    0.000193721              1
             30          0.015        88.7242        17.1676        71.5566       -271.084    0.000192168              1
             31         0.0155        88.8057        17.3913        71.4144       -222.587    0.000159985              1
             32          0.016        88.8576        18.2123        70.6453       -136.218    0.000102954              1
             33         0.0165         88.913         18.955         69.958        -27.743     3.1132e-05              1
             34          0.017        88.9945        19.0889        69.9056        83.2107   -4.27478e-05              1
             35         0.0175        89.0983        18.5821        70.5162        176.742    -0.00010544              1
             36          0.018        89.1983        17.8721        71.3262        236.282   -0.000145607              1
             37         0.0185        89.2664         17.509        71.7574        251.577   -0.000156045              1
             38          0.019        89.2921        17.7505        71.5416        220.515   -0.000135176              1
             39         0.0195        89.2884        18.3949        70.8935          149.4   -8.73368e-05              1
             40           0.02        89.2828        18.9513        70.3315        51.6306   -2.17862e-05              1
             41         0.0205         89.298        19.0084        70.2896        -54.891    4.92663e-05              1
             42          0.021        89.3378        18.5356        70.8021       -151.036    0.000113048              1
             43         0.0215        89.3854        17.9061        71.4793       -219.814     0.00015848              1
             44          0.022        89.4168        17.6286        71.7882       -249.297    0.000177951              1
             45         0.0225        89.4183        17.9791        71.4392       -234.613    0.000168395              1
             46          0.023        89.3965        18.7943        70.6023       -178.659    0.000131636              1
             47         0.0235        89.3734        19.5713        69.8021        -91.454    7.40169e-05              1
             48          0.024         89.371        19.8017        69.5692        11.6719     5.4199e-06              1
             49         0.0245        89.3962        19.3135        70.0826        112.701   -6.22581e-05              1
             50          0.025        89.4359        18.3944        71.0414        194.004   -0.000117073              1
             51         0.0255        89.4648        17.6164        71.8484        241.431    -0.00014921              1
             52          0.026        89.4621        17.4755        71.9866        246.854   -0.000152919              1
             53         0.0265        89.4241        18.0801        71.3439         209.63     -0.0001277              1
             54          0.027        89.3668        19.0853        70.2815        136.627   -7.83612e-05              1
             55         0.0275         89.316        19.9054        69.4106        40.8384   -1.39553e-05              1
             56          0.028        89.2923        20.0679        69.2244       -61.0642    5.40881e-05              1
             57         0.0285        89.3003         19.493        69.8073        -151.64    0.000114089              1
             58          0.029        89.3265         18.538        70.7885       -215.526    0.000156042              1
             59         0.0295        89.3474        17.7806        71.5667       -241.865    0.000173097              1
             60           0.03         89.344        17.6674        71.6766       -226.072    0.000162493              1
             61         0.0305        89.3146        18.2413        71.0733       -170.652    0.000125929              1
             62          0.031         89.275        19.1255        70.1495       -84.8128    6.92922e-05              1
             63         0.0315        89.2479        19.7723        69.4756        17.1111    1.77412e-06              1
             64          0.032        89.2468        19.8051        69.4417        118.103    -6.5532e-05              1
             65         0.0325        89.2688        19.2322        70.0366        201.296   -0.000121376              1
             66          0.033        89.2977        18.4096         70.888        252.769    -0.00015624              1
             67         0.0335        89.3157        17.8025        71.5133        263.889   -0.000164058              1
             68          0.034        89.3147        17.7088        71.6059        232.785   -0.000143384              1
             69         0.0345        89.2996        18.1141        71.1854        164.645   -9.76872e-05              1
             70          0.035        89.2839        18.7388        70.5451        70.7463   -3.46717e-05              1
             71         0.0355         89.281        19.2196        70.0614       -33.5671    3.51912e-05              1
             72          0.036        89.2979        19.3059         69.992       -131.519     0.00010055              1
             73         0.0365         89.333        18.9733        70.3597       -207.592    0.000151044              1
             74          0.037        89.3774        18.4195        70.9579       -249.829    0.000178832              1
             75         0.0375        89.4175        17.9516        71.4659         -251.5    0.000179634              1
             76          0.038        89.4413        17.8148        71.6265       -212.073    0.000153259              1
             77         0.0385        89.4456        18.0487        71.3968       -137.391    0.000103626              1
             78          0.039         89.438        18.4652        70.9728       -38.8945    3.82398e-05              1
             79         0.0395        89.4321         18.771         70.661        68.1021   -3.28874e-05              1
             80           0.04        89.4375        18.7565         70.681         166.85   -9.87291e-05              1
             81         0.0405         89.455        18.4209        71.0341        241.854   -0.000148956              1
             82          0.041        89.4776        17.9564        71.5212        281.352   -0.000175597              1
             83         0.0415        89.4975        17.6162        71.8813        279.176   -0.000174373              1
             84          0.042        89.5117        17.5638        71.9479        235.709    -0.00014543              1
             85         0.0425        89.5229        17.7954        71.7275        157.764   -9.33126e-05              1
             86          0.043        89.5369        18.1618        71.3751        57.4081   -2.61642e-05              1
             87         0.0435        89.5586        18.4545        71.1041       -50.0495    4.56693e-05              1
             88          0.044        89.5901        18.5034        71.0868       -148.513    0.000111344              1
             89         0.0445        89.6307        18.2556        71.3751        -223.53    0.000161191              1
             90          0.045        89.6751        17.8136        71.8615       -264.287    0.000188067              1
             91         0.0455        89.7132        17.4061        72.3071       -264.973    0.000188252              1
             92          0.046        89.7326        17.2752        72.4574       -225.486    0.000161841              1
             93         0.0465        89.7263        17.5213        72.2049       -151.477    0.000112666              1
             94          0.047        89.6994        18.0108        71.6887       -53.6431    4.77693e-05              1
             95         0.0475        89.6678        18.4315        71.2363        53.7667   -2.35568e-05              1
             96          0.048        89.6486        18.4823        71.1663        155.065   -9.10551e-05              1
             97         0.0485        89.6503        18.0706        71.5797        235.489   -0.000144945              1
             98          0.049         89.669        17.3853        72.2838        283.401   -0.000177344              1
             99         0.0495        89.6928        16.7945        72.8982        292.005   -0.000183474              1
            100           0.05        89.7095        16.6355        73.0741         260.33   -0.000162463              1


   Total mass                       :                 10
   Coordinates of the center of mass:            50.3794        49.9917        50.0803
   Velocity of the center of mass   :          -0.347136      -0.166299       0.362501
   Translational kinetic energy     :            1.39783


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            101         0.0505        89.7143        17.0188        72.6955        193.331   -0.000117542              1
            102          0.051        89.7111        17.7571         71.954        101.051   -5.55295e-05              1
            103         0.0515        89.7105        18.4538        71.2567       -3.01768    1.43143e-05              1
            104          0.052        89.7231        18.7078        71.0152       -104.062    8.18469e-05              1
            105         0.0525         89.753        18.3354        71.4175       -188.142    0.000137651              1
            106          0.053        89.7934        17.4935        72.2999       -244.063    0.000174371              1
            107         0.0535        89.8268        16.6249        73.2019       -264.722    0.000187565              1
            108          0.054        89.8329        16.2284        73.6045        -247.86    0.000176059              1
            109         0.0545        89.8003        16.5628        73.2375        -196.27    0.000141888              1
            110          0.055        89.7363        17.4676        72.2687       -117.397      8.991e-05              1
            111         0.0555        89.6644        18.4302        71.2342       -22.2981    2.71522e-05              1
            112          0.056        89.6114        18.8807        70.7306        75.9468    -3.8044e-05              1
            113         0.0565        89.5918        18.5322        71.0596        164.064   -9.70212e-05              1
            114          0.057        89.6013        17.5536        72.0477        230.379   -0.000141884              1
            115         0.0575          89.62         16.474         73.146        266.362   -0.000166592              1
            116          0.058        89.6257        15.8806         73.745        267.771   -0.000167927              1
            117         0.0585        89.6057        16.0904        73.5153        235.222   -0.000146088              1
            118          0.059        89.5635        16.9816        72.5819        174.025   -0.000104695              1
            119         0.0595        89.5145        18.0716        71.4428        93.2637   -5.01281e-05              1
            120           0.06        89.4766        18.7881        70.6884        4.29346    9.66312e-06              1
            121         0.0605        89.4594        18.7772        70.6821       -81.0288    6.65374e-05              1
            122          0.061        89.4584        18.0822        71.3762       -151.995    0.000113385              1
            123         0.0615        89.4575        17.1033        72.3542       -200.335    0.000144959              1
